"","term","estimate","std.error","statistic","p.value"
"218","poverty",21.3104775332055,9.97242748587584,2.13693983369526,0.0326893693196664
"219","chci",-18.8295177201991,5.15730991400385,-3.65103475148363,0.000265969133166475
"220","lcp",-3.17355847657881,6.04857396105338,-0.524678791565297,0.599848068471892
"221","ur",-3.21121519752417,13.5718190393739,-0.236609049104467,0.81297741920257
"222","disable",3.99825557780491,10.0260014866331,0.398788648010423,0.69007937321234
"223","hi_pub",-20.3737789362322,5.95881313299338,-3.41910015996719,0.000637277419110467
"224","demv",-23.3013456432797,3.05252491392665,-7.63346616336238,3.11406493409151e-14
"225","commute_p",38.4106611828407,14.6834896837728,2.61590820779406,0.0089468770005023
"226","wfh",-59.3849467689256,11.2652898348488,-5.27149746162947,1.45623126774951e-07
"227","computer",-40.76934574928,6.7804558332535,-6.01277358807267,2.06067697407195e-09
"228","p_nursehome",324.825875561937,52.019801237471,6.24427367723117,4.90459506635294e-10
"229","p_liquor",601.356660079241,529.869162126978,1.1349153773458,0.256507989186261
"230","drinking",-25.3674569635078,10.9026660072449,-2.32672054217299,0.0200511945043131
"231","prematured",0.146859250017239,0.0166273032217012,8.83241545902437,1.77115306596377e-18
"232","lowbirthw",63.4217342052321,20.7696697690541,3.05357451083443,0.00228261001275677
"233",NA,NA,NA,NA,NA
"234","(Intercept)",-5.57570500415745e-12,2.09263504195504e-12,-2.66444214703982,0.00775587634211482
"235","deathp520",1,3.93849265572582e-17,25390424393611356,0
"236","a85a",6.68216314515327e-14,8.4189813521239e-14,0.793702095974774,0.427436183705073
"237","a7584",3.17816681161852e-14,6.60757395798736e-14,0.480988458370063,0.630562310314839
"238","a6574",-1.36105656553243e-14,5.56148342990816e-14,-0.244729051643495,0.806684177391166
"239","a5564",3.51870383947072e-14,5.44284640847582e-14,0.646482295365023,0.518020082404187
"240","a2034",3.54727198925275e-14,2.9366631177991e-14,1.20792608718132,0.227177780600093
"241","pdensity",-8.84352029667374e-18,5.32949547961289e-17,-0.165935412282517,0.868219767442647
